WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00169,Southwest,Burton,Assess,Yes,29-Sep-20,01-Oct-20,1,,,2.0,109.93,Account,2,#REF!,#REF!,#REF!,109.93,#REF!,#REF!,Tue,Thu
A00170,East,Cartier,Repair,Yes,30-Sep-20,01-Oct-20,1,Yes,,0.5,155.29,Account,1,#REF!,#REF!,#REF!,155.29,#REF!,#REF!,Wed,Thu
A00171,Northwest,Cartier,Repair,,30-Sep-20,05-Oct-20,2,Yes,,0.5,26.05,Account,5,#REF!,#REF!,#REF!,26.05,#REF!,#REF!,Wed,Mon
A00172,West,Lopez,Assess,Yes,01-Oct-20,03-Oct-20,1,,Yes,3.5,156.24,C.O.D.,2,#REF!,#REF!,#REF!,156.24,#REF!,#REF!,Thu,Sat
A00173,West,Ling,Replace,,01-Oct-20,04-Oct-20,1,,,0.5,116.93,P.O.,3,#REF!,#REF!,#REF!,116.93,#REF!,#REF!,Thu,Sun
A00174,South,Cartier,Assess,,02-Oct-20,03-Oct-20,1,,,3.5,69.23,C.O.D.,1,#REF!,#REF!,#REF!,69.23,#REF!,#REF!,Fri,Sat
A00175,North,Ling,Assess,,02-Oct-20,05-Oct-20,1,,,1.0,213.63,P.O.,3,#REF!,#REF!,#REF!,213.63,#REF!,#REF!,Fri,Mon
A00176,East,Ling,Replace,,03-Oct-20,02-Nov-20,2,,,0.25,382.13,C.O.D.,30,#REF!,#REF!,#REF!,382.13,#REF!,#REF!,Sat,Mon
A00177,North,Lopez,Assess,Yes,03-Oct-20,05-Oct-20,1,,,1.0,56.64,C.O.D.,2,#REF!,#REF!,#REF!,56.64,#REF!,#REF!,Sat,Mon
A00178,Southwest,Khan,Assess,,04-Oct-20,24-Oct-20,1,,,1.0,292.65,C.O.D.,20,#REF!,#REF!,#REF!,292.65,#REF!,#REF!,Sun,Sat
A00179,South,Lopez,Replace,,04-Oct-20,03-Nov-20,1,Yes,,0.5,196.2,Account,30,#REF!,#REF!,#REF!,196.2,#REF!,#REF!,Sun,Tue
A00180,Central,Khan,Repair,Yes,05-Oct-20,10-Oct-20,1,,,0.25,18.13,C.O.D.,5,#REF!,#REF!,#REF!,18.13,#REF!,#REF!,Mon,Sat
A00181,Central,Khan,Assess,Yes,05-Oct-20,08-Oct-20,1,,,0.25,63.4,P.O.,3,#REF!,#REF!,#REF!,63.4,#REF!,#REF!,Mon,Thu
A00182,South,Ling,Assess,,05-Oct-20,08-Oct-20,2,,,0.25,107.98,C.O.D.,3,#REF!,#REF!,#REF!,107.98,#REF!,#REF!,Mon,Thu
A00183,South,Khan,Replace,,06-Oct-20,09-Oct-20,1,,,0.75,98.51,Account,3,#REF!,#REF!,#REF!,98.51,#REF!,#REF!,Tue,Fri
A00184,North,Lopez,Deliver,Yes,06-Oct-20,09-Oct-20,2,,,0.5,92.02,C.O.D.,3,#REF!,#REF!,#REF!,92.02,#REF!,#REF!,Tue,Fri
A00185,Northeast,Lopez,Replace,,07-Oct-20,10-Oct-20,1,,,1.0,178.67,Account,3,#REF!,#REF!,#REF!,178.67,#REF!,#REF!,Wed,Sat
A00186,Northwest,Cartier,Assess,Yes,07-Oct-20,17-Oct-20,1,,,0.25,41.01,Account,10,#REF!,#REF!,#REF!,41.01,#REF!,#REF!,Wed,Sat
A00187,North,Ling,Replace,Yes,08-Oct-20,10-Oct-20,1,,,0.5,172.69,C.O.D.,2,#REF!,#REF!,#REF!,172.69,#REF!,#REF!,Thu,Sat
A00188,Central,Lopez,Assess,,08-Oct-20,13-Oct-20,2,,,0.5,60.62,P.O.,5,#REF!,#REF!,#REF!,60.62,#REF!,#REF!,Thu,Tue
A00189,East,Michner,Assess,Yes,09-Oct-20,10-Oct-20,1,,,0.25,284.99,Account,1,#REF!,#REF!,#REF!,284.99,#REF!,#REF!,Fri,Sat
A00190,Northeast,Ling,Repair,,09-Oct-20,14-Oct-20,2,,,0.25,455.49,Account,5,#REF!,#REF!,#REF!,455.49,#REF!,#REF!,Fri,Wed
A00191,Southwest,Lopez,Replace,Yes,10-Oct-20,17-Oct-20,1,,,2.0,161.44,Account,7,#REF!,#REF!,#REF!,161.44,#REF!,#REF!,Sat,Sat
A00192,North,Lopez,Deliver,,10-Oct-20,17-Oct-20,1,,,0.5,18.89,Account,7,#REF!,#REF!,#REF!,18.89,#REF!,#REF!,Sat,Sat
A00193,Southeast,Lopez,Repair,,11-Oct-20,13-Oct-20,1,,,0.25,27.39,Account,2,#REF!,#REF!,#REF!,27.39,#REF!,#REF!,Sun,Tue
A00194,Central,Michner,Assess,,11-Oct-20,16-Oct-20,2,Yes,,0.75,346.84,Account,5,#REF!,#REF!,#REF!,346.84,#REF!,#REF!,Sun,Fri
A00195,Northeast,Michner,Assess,,12-Oct-20,13-Oct-20,1,,,0.25,34.03,C.O.D.,1,#REF!,#REF!,#REF!,34.03,#REF!,#REF!,Mon,Tue
A00196,West,Khan,Deliver,,12-Oct-20,17-Oct-20,1,,,1.5,129.91,C.O.D.,5,#REF!,#REF!,#REF!,129.91,#REF!,#REF!,Mon,Sat
A00197,North,Khan,Assess,,13-Oct-20,16-Oct-20,1,,,0.5,27.42,P.O.,3,#REF!,#REF!,#REF!,27.42,#REF!,#REF!,Tue,Fri
A00198,Northeast,Lopez,Assess,,13-Oct-20,18-Oct-20,2,,,0.5,741.1,C.O.D.,5,#REF!,#REF!,#REF!,741.1,#REF!,#REF!,Tue,Sun
A00199,Southeast,Khan,Assess,,14-Oct-20,21-Oct-20,2,,,0.25,104.77,Account,7,#REF!,#REF!,#REF!,104.77,#REF!,#REF!,Wed,Wed
A00200,West,Ling,Replace,,14-Oct-20,17-Oct-20,1,,,0.5,154.58,C.O.D.,3,#REF!,#REF!,#REF!,154.58,#REF!,#REF!,Wed,Sat
A00201,East,Burton,Assess,,15-Oct-20,17-Oct-20,1,,,0.25,127.03,P.O.,2,#REF!,#REF!,#REF!,127.03,#REF!,#REF!,Thu,Sat
A00202,South,Khan,Assess,Yes,15-Oct-20,17-Oct-20,2,Yes,,0.75,319.4,C.O.D.,2,#REF!,#REF!,#REF!,319.4,#REF!,#REF!,Thu,Sat
A00203,Southwest,Michner,Assess,,15-Oct-20,17-Oct-20,2,Yes,,0.25,515.2,C.O.D.,2,#REF!,#REF!,#REF!,515.2,#REF!,#REF!,Thu,Sat
A00204,Southwest,Khan,Deliver,,16-Oct-20,18-Oct-20,1,,,0.75,40.12,C.O.D.,2,#REF!,#REF!,#REF!,40.12,#REF!,#REF!,Fri,Sun
A00205,Central,Burton,Replace,,16-Oct-20,21-Oct-20,2,,,1.5,118.64,Account,5,#REF!,#REF!,#REF!,118.64,#REF!,#REF!,Fri,Wed
A00206,Northwest,Khan,Assess,,17-Oct-20,31-Oct-20,1,,,0.25,42.33,Account,14,#REF!,#REF!,#REF!,42.33,#REF!,#REF!,Sat,Sat
A00207,North,Burton,Assess,Yes,17-Oct-20,22-Oct-20,1,,Yes,0.5,121.08,Account,5,#REF!,#REF!,#REF!,121.08,#REF!,#REF!,Sat,Thu
A00208,Northeast,Cartier,Assess,,18-Oct-20,25-Oct-20,1,,,0.5,20.66,C.O.D.,7,#REF!,#REF!,#REF!,20.66,#REF!,#REF!,Sun,Sun
A00209,South,Michner,Assess,,18-Oct-20,21-Oct-20,1,,,0.25,21.92,C.O.D.,3,#REF!,#REF!,#REF!,21.92,#REF!,#REF!,Sun,Wed
A00210,Central,Michner,Replace,,19-Oct-20,21-Oct-20,1,,,0.75,15.8,Account,2,#REF!,#REF!,#REF!,15.8,#REF!,#REF!,Mon,Wed
A00211,Northeast,Michner,Assess,,19-Oct-20,21-Oct-20,1,,,0.25,45.93,C.O.D.,2,#REF!,#REF!,#REF!,45.93,#REF!,#REF!,Mon,Wed
A00212,West,Burton,Replace,,20-Oct-20,30-Oct-20,1,,,0.5,172.27,C.O.D.,10,#REF!,#REF!,#REF!,172.27,#REF!,#REF!,Tue,Fri
A00213,Central,Burton,Replace,,20-Oct-20,22-Oct-20,2,,,0.25,69.8,C.O.D.,2,#REF!,#REF!,#REF!,69.8,#REF!,#REF!,Tue,Thu
A00214,East,Ling,Assess,,21-Oct-20,23-Oct-20,1,,,2.0,194.06,Account,2,#REF!,#REF!,#REF!,194.06,#REF!,#REF!,Wed,Fri
A00215,Southeast,Khan,Assess,,21-Oct-20,26-Oct-20,1,,,0.25,30.51,C.O.D.,5,#REF!,#REF!,#REF!,30.51,#REF!,#REF!,Wed,Mon
A00216,South,Ling,Assess,,22-Oct-20,21-Nov-20,1,,,0.25,74.85,Account,30,#REF!,#REF!,#REF!,74.85,#REF!,#REF!,Thu,Sat
A00217,East,Lopez,Assess,,22-Oct-20,29-Oct-20,2,,,0.5,143.75,Account,7,#REF!,#REF!,#REF!,143.75,#REF!,#REF!,Thu,Thu
A00218,East,Burton,Deliver,,23-Oct-20,06-Nov-20,1,,,0.25,123.4,Account,14,#REF!,#REF!,#REF!,123.4,#REF!,#REF!,Fri,Fri
A00219,Northeast,Cartier,Assess,,23-Oct-20,26-Oct-20,2,,,0.5,382.22,Account,3,#REF!,#REF!,#REF!,382.22,#REF!,#REF!,Fri,Mon
A00220,West,Burton,Assess,Yes,24-Oct-20,27-Oct-20,1,,,0.25,189.34,Account,3,#REF!,#REF!,#REF!,189.34,#REF!,#REF!,Sat,Tue
A00221,North,Khan,Assess,,24-Oct-20,25-Oct-20,1,,,0.25,12.78,P.O.,1,#REF!,#REF!,#REF!,12.78,#REF!,#REF!,Sat,Sun
A00222,Central,Ling,Assess,,24-Oct-20,25-Oct-20,2,,,0.5,23.38,P.O.,1,#REF!,#REF!,#REF!,23.38,#REF!,#REF!,Sat,Sun
A00223,East,Khan,Replace,,25-Oct-20,01-Nov-20,1,Yes,,0.5,154.28,Account,7,#REF!,#REF!,#REF!,154.28,#REF!,#REF!,Sun,Sun
A00224,Southeast,Khan,Assess,,25-Oct-20,30-Oct-20,1,,,0.75,38.17,Account,5,#REF!,#REF!,#REF!,38.17,#REF!,#REF!,Sun,Fri
A00225,South,Michner,Assess,,26-Oct-20,29-Oct-20,1,,,0.5,43.87,Account,3,#REF!,#REF!,#REF!,43.87,#REF!,#REF!,Mon,Thu
A00226,East,Cartier,Assess,,26-Oct-20,27-Oct-20,1,,,0.5,142.54,C.O.D.,1,#REF!,#REF!,#REF!,142.54,#REF!,#REF!,Mon,Tue
A00227,South,Cartier,Deliver,,27-Oct-20,01-Nov-20,1,,,1.75,21.21,Account,5,#REF!,#REF!,#REF!,21.21,#REF!,#REF!,Tue,Sun
A00228,North,Ling,Assess,Yes,27-Oct-20,28-Oct-20,1,,Yes,0.75,77.41,Account,1,#REF!,#REF!,#REF!,77.41,#REF!,#REF!,Tue,Wed
A00229,North,Cartier,Assess,Yes,28-Oct-20,04-Nov-20,1,,,0.25,14.66,P.O.,7,#REF!,#REF!,#REF!,14.66,#REF!,#REF!,Wed,Wed
A00230,North,Khan,Replace,Yes,28-Oct-20,31-Oct-20,2,,,0.5,496.81,P.O.,3,#REF!,#REF!,#REF!,496.81,#REF!,#REF!,Wed,Sat
A00231,South,Khan,Replace,Yes,29-Oct-20,03-Nov-20,1,Yes,,0.5,98.76,Account,5,#REF!,#REF!,#REF!,98.76,#REF!,#REF!,Thu,Tue
A00232,Southwest,Khan,Repair,Yes,29-Oct-20,31-Oct-20,1,,Yes,1.5,327.82,P.O.,2,#REF!,#REF!,#REF!,327.82,#REF!,#REF!,Thu,Sat
A00233,Central,Lopez,Assess,,30-Oct-20,01-Nov-20,1,,,0.25,104.9,C.O.D.,2,#REF!,#REF!,#REF!,104.9,#REF!,#REF!,Fri,Sun
A00234,South,Cartier,Deliver,,30-Oct-20,04-Nov-20,1,,,1.0,16.83,Account,5,#REF!,#REF!,#REF!,16.83,#REF!,#REF!,Fri,Wed
A00235,South,Burton,Assess,Yes,31-Oct-20,14-Nov-20,1,,,2.0,26.41,P.O.,14,#REF!,#REF!,#REF!,26.41,#REF!,#REF!,Sat,Sat
A00236,South,Ling,Assess,,31-Oct-20,30-Nov-20,2,,,0.5,252.35,C.O.D.,30,#REF!,#REF!,#REF!,252.35,#REF!,#REF!,Sat,Mon
A00237,Northeast,Burton,Deliver,,01-Nov-20,06-Nov-20,1,,,1.75,25.92,C.O.D.,5,#REF!,#REF!,#REF!,25.92,#REF!,#REF!,Sun,Fri
A00238,East,Cartier,Repair,,01-Nov-20,03-Nov-20,1,,,0.25,175.78,Account,2,#REF!,#REF!,#REF!,175.78,#REF!,#REF!,Sun,Tue
A00239,Southeast,Lopez,Assess,,02-Nov-20,12-Nov-20,1,,,0.5,13.59,C.O.D.,10,#REF!,#REF!,#REF!,13.59,#REF!,#REF!,Mon,Thu
A00240,Central,Michner,Assess,,02-Nov-20,04-Nov-20,2,,,1.75,25.48,P.O.,2,#REF!,#REF!,#REF!,25.48,#REF!,#REF!,Mon,Wed
A00241,South,Burton,Assess,,02-Nov-20,07-Nov-20,2,,,0.25,21.82,P.O.,5,#REF!,#REF!,#REF!,21.82,#REF!,#REF!,Mon,Sat
A00242,West,Cartier,Assess,,03-Nov-20,03-Dec-20,1,,,0.5,217.47,Account,30,#REF!,#REF!,#REF!,217.47,#REF!,#REF!,Tue,Thu
A00243,South,Michner,Assess,Yes,03-Nov-20,04-Nov-20,1,,,0.75,154.48,Account,1,#REF!,#REF!,#REF!,154.48,#REF!,#REF!,Tue,Wed
A00244,West,Michner,Assess,,04-Nov-20,05-Nov-20,2,,,1.75,77.81,C.O.D.,1,#REF!,#REF!,#REF!,77.81,#REF!,#REF!,Wed,Thu
A00245,Southwest,Ling,Repair,,04-Nov-20,07-Nov-20,1,,,0.25,255.61,C.O.D.,3,#REF!,#REF!,#REF!,255.61,#REF!,#REF!,Wed,Sat
A00246,Northeast,Burton,Assess,,05-Nov-20,10-Nov-20,1,,,0.5,14.66,C.O.D.,5,#REF!,#REF!,#REF!,14.66,#REF!,#REF!,Thu,Tue
A00247,Northeast,Burton,Repair,Yes,05-Nov-20,07-Nov-20,2,,,0.25,151.34,Account,2,#REF!,#REF!,#REF!,151.34,#REF!,#REF!,Thu,Sat
A00248,Southwest,Burton,Assess,,06-Nov-20,08-Nov-20,1,,,3.5,31.94,Account,2,#REF!,#REF!,#REF!,31.94,#REF!,#REF!,Fri,Sun
A00249,South,Michner,Repair,,06-Nov-20,11-Nov-20,1,,,0.75,17.35,Account,5,#REF!,#REF!,#REF!,17.35,#REF!,#REF!,Fri,Wed
A00250,North,Burton,Repair,Yes,07-Nov-20,09-Nov-20,1,,,0.25,191.93,P.O.,2,#REF!,#REF!,#REF!,191.93,#REF!,#REF!,Sat,Mon
A00251,North,Khan,Deliver,,07-Nov-20,08-Nov-20,1,,,0.25,113.09,C.O.D.,1,#REF!,#REF!,#REF!,113.09,#REF!,#REF!,Sat,Sun
A00252,South,Lopez,Assess,,08-Nov-20,18-Nov-20,2,,,0.5,127.54,C.O.D.,10,#REF!,#REF!,#REF!,127.54,#REF!,#REF!,Sun,Wed
